Where does the General keep his armies?   In his sleevies.
How does a squid go into battle?   Well-armed.
What's the best thing about Switzerland?   I don't know but their flag is a huge plus.
Where do you find a cow with no legs?   Right where you left it.
Why aren't koalas actual bears?   They don't meet the koalafications.
What's E.T. short for?   Because he's only got little legs.
What do you call a Frenchman wearing sandals?   Phillipe Phillope.
What do you call a dinosaur that is sleeping?   A dino-snore!
What is fast, loud and crunchy?  A rocket chip!
Why did the teddy bear say no to dessert?   Because she was stuffed.
What has ears but cannot hear?   A cornfield.
Why did the chicken cross the road?   To get to the other side.
What is fast, loud and crunchy?  A rocket chip!
What did one plate say to the other plate?  Dinner is on me!
When you look for something, why is it always in the last place you look?  Because when you find it, you stop looking.
What is brown, hairy and wears sunglasses?  A coconut on vacation
Two pickles fell out of a jar onto the floor. What did one say to the other?  Dill with it.
How does a vampire start a letter?  Tomb it may concern...
How do you stop an astronaut’s baby from crying?  You rocket!
Why was 6 afraid of 7?  Because 7, 8, 9
What do you call a duck that gets all A’s?   A wise quacker.
What kind of water cannot freeze?  Hot water.
